exporter,importer,mbd,source
NGA,POL,0.024,UN_Comtrade_HS2709_2023
SAU,EGY,0.023,UN_Comtrade_HS2709_2023
GBR,ITA,0.023,UN_Comtrade_HS2709_2023
KWT,USA,0.021,UN_Comtrade_HS2709_2023
USA,MYS,0.021,UN_Comtrade_HS2709_2023
CAN,DEU,0.02,UN_Comtrade_HS2709_2023
GBR,POL,0.02,UN_Comtrade_HS2709_2023
VEN,ESP,0.019,UN_Comtrade_HS2709_2023
ARE,USA,0.019,UN_Comtrade_HS2709_2023
IRQ,SGP,0.018,UN_Comtrade_HS2709_2023
DZA,USA,0.018,UN_Comtrade_HS2709_2023
USA,IDN,0.016,UN_Comtrade_HS2709_2023
MYS,SGP,0.016,UN_Comtrade_HS2709_2023
AGO,SGP,0.016,UN_Comtrade_HS2709_2023
NGA,CHN,0.016,UN_Comtrade_HS2709_2023
RUS,NLD,0.015,UN_Comtrade_HS2709_2023
NGA,KOR,0.015,UN_Comtrade_HS2709_2023
USA,COL,0.014,UN_Comtrade_HS2709_2023
GBR,KOR,0.013,UN_Comtrade_HS2709_2023
KWT,MYS,0.013,UN_Comtrade_HS2709_2023
QAT,THA,0.013,UN_Comtrade_HS2709_2023
RUS,POL,0.013,UN_Comtrade_HS2709_2023
NGA,THA,0.013,UN_Comtrade_HS2709_2023
MEX,DEU,0.013,UN_Comtrade_HS2709_2023
DZA,IDN,0.011,UN_Comtrade_HS2709_2023
EGY,DEU,0.011,UN_Comtrade_HS2709_2023
GBR,DNK,0.01,UN_Comtrade_HS2709_2023
